Close,shift,returns,SMA,Lower,Upper,distance,position,strategy,creturns,cstrategy,trades
2722.18,1.0076251674945773,0.007596242848709828,2629.631,2410.7275704747153,2848.5344295252844,92.54899999999998,0.0,0.0,1.0076251674945773,1.0,0.0
2726.22,1.0014841046514191,0.0014830044565126784,2637.5440000000003,2422.5743295426264,2852.5136704573742,88.67599999999948,0.0,0.0,1.009120588692543,1.0,0.0
2781.01,1.0200974242724359,0.019898136727592955,2647.9876666666664,2436.751532108706,2859.2238012246266,133.0223333333338,0.0,0.0,1.0294013133055473,1.0,0.0
2806.83,1.0092843966760277,0.009241561593020788,2663.1786666666667,2476.1268708723323,2850.230462461001,143.65133333333324,0.0,0.0,1.0389586834370999,1.0,0.0
2813.89,1.002515293053017,0.0025121349979598455,2676.421,2506.0956877822637,2846.746312217736,137.46900000000005,0.0,0.0,1.0415719689959209,1.0,0.0
2755.45,0.9792315975393494,-0.020987099015788897,2686.0219999999995,2532.8367613665955,2839.2072386334034,69.42800000000034,0.0,-0.0,1.0199401831520813,1.0,0.0
2738.31,0.9937796004282422,-0.006239826862749627,2693.733666666667,2555.2626107110204,2832.2047226223135,44.57633333333297,0.0,-0.0,1.0135957476735835,1.0,0.0
2723.06,0.9944308715959844,-0.005584693817028457,2699.6303333333335,2572.5668856488332,2826.6937810178338,23.429666666666435,0.0,-0.0,1.007950902805025,1.0,0.0
2740.37,1.0063568191666727,0.00633669981010698,2706.1113333333333,2592.34750104261,2819.8751656240565,34.25866666666661,0.0,0.0,1.0143582644230413,1.0,0.0
2711.74,0.989552505683539,-0.010502452503904835,2709.837666666667,2603.373552241991,2816.3017810913425,1.9023333333329902,0.0,-0.0,1.0037607622206264,1.0,0.0
2682.63,0.9892651950408227,-0.010792838671999174,2710.907333333333,2606.2795043810656,2815.5351622856006,-28.27733333333299,0.0,-0.0,0.9929855862125126,1.0,0.0
2641.25,0.9845748388708095,-0.015545366655688803,2710.58,2605.119403011163,2816.040596988837,-69.32999999999993,0.0,-0.0,0.9776686235462211,1.0,0.0
2658.69,1.0066029342167535,0.0065812303337734,2711.3103333333333,2607.6769094235497,2814.943757243117,-52.62033333333329,0.0,0.0,0.9841241051532806,1.0,0.0
2705.57,1.0176327439453265,0.017479090705260294,2713.572,2613.6905960630593,2813.453403936941,-8.001999999999953,0.0,0.0,1.001476913509872,1.0,0.0
2656.1,0.9817154980281418,-0.01845372947933212,2714.339333333333,2616.687917829585,2811.990748837081,-58.23933333333298,0.0,-0.0,0.9831654069100304,1.0,0.0
2740.69,1.0318474455028048,0.03135083200711901,2715.8306666666667,2617.9750304315007,2813.6863029018327,24.859333333333325,0.0,0.0,1.0144767136268407,1.0,0.0
2755.88,1.0055423999065929,0.005527097324213399,2717.6913333333337,2618.9577084515363,2816.424958215131,38.18866666666645,0.0,0.0,1.0200993492696866,1.0,0.0
2767.78,1.004318039972713,0.004308743988789548,2716.938333333333,2620.173379135441,2813.703287531225,50.84166666666715,0.0,0.0,1.0245041790359717,1.0,0.0
2768.78,1.0003613003923721,0.000361235139102261,2717.2253333333333,2619.8804654512046,2814.570201215462,51.55466666666689,0.0,0.0,1.0248743327978442,1.0,0.0
2809.21,1.0146020991194677,0.01449651506164545,2719.6070000000004,2616.8380893448707,2822.37591065513,89.60299999999961,0.0,0.0,1.0398396493903568,1.0,0.0
2809.92,1.0002527400941903,0.0002527081607931433,2721.8113333333336,2614.1744257119253,2829.448240954742,88.10866666666652,0.0,0.0,1.0401024585612864,1.0,0.0
2750.79,0.9789566962760505,-0.021267870038650216,2724.0986666666663,2617.0326386042684,2831.164694729064,26.69133333333366,0.0,-0.0,1.0182152666217548,1.0,0.0
2767.13,1.0059401117497155,0.0059225388416022946,2727.2213333333334,2620.8053629563965,2833.6373037102703,39.908666666666704,0.0,0.0,1.0242635790907544,1.0,0.0
2728.37,0.985992707245413,-0.014106320709680998,2730.415,2630.1834287125093,2830.6465712874906,-2.0450000000000728,0.0,-0.0,1.009916419280569,1.0,0.0
2785.68,1.0210052155682696,0.020787647463574865,2734.9400000000005,2637.5263541386494,2832.3536458613517,50.73999999999933,0.0,0.0,1.0311299313734923,1.0,0.0
2880.34,1.0339809310473567,0.03341633398906175,2742.888333333334,2638.2471659767534,2847.529500689914,137.45166666666637,-1.0,0.0,1.0661686864723605,1.0,1.0
2884.43,1.0014199712533935,0.0014189640475694544,2749.345,2634.6046597710165,2864.085340228983,135.08500000000004,-1.0,-0.0014189640475694544,1.0676826153584198,0.9985820422059126,0.0
2885.57,1.0003952253998192,0.0003951473188332275,2754.321666666667,2629.4261048799335,2879.217228453401,131.248333333333,-1.0,-0.0003951473188332275,1.0681045906469546,0.9981875331390332,0.0
2901.61,1.005558693776273,0.005543301253226912,2760.0353333333333,2624.4779127238376,2895.592753942829,141.57466666666687,-1.0,-0.005543301253226912,1.0740418569873926,0.9926695868845227,0.0
2925.51,1.008236806462619,0.00820306910438856,2767.499666666666,2621.0388894308935,2913.960443902439,158.01033333333407,-1.0,-0.00820306910438856,1.0828885318961496,0.9845599570673147,0.0
2923.43,0.999289012855878,-0.0007112400153474396,2774.208,2618.211382317831,2930.204617682169,149.22199999999975,-1.0,0.0007112400153474396,1.0821186120714545,0.9852604645912507,0.0
2924.59,1.0003967941767036,0.0003967154747125476,2780.8203333333336,2616.6385339738417,2945.0021326928254,143.76966666666658,-1.0,-0.0003967154747125476,1.0825479904352269,0.9848696740397798,0.0
