Close,shift,returns,SMA,Lower,Upper,distance,position,strategy,trades
3096.63,0.9923633054100999,-0.007666003452599912,3153.6676666666667,3063.0185248317753,3244.316808501558,-57.03766666666661,0.0,-0.0,0.0
3094.04,0.999163606888779,-0.0008367430830955341,3148.8016666666667,3061.731675306829,3235.8716580265045,-54.76166666666677,0.0,-0.0,0.0
3091.84,0.9992889555403293,-0.0007112973716774481,3143.866,3061.507106235763,3226.224893764237,-52.02599999999984,0.0,-0.0,0.0
3087.01,0.9984378234320017,-0.0015633980380801227,3139.3203333333336,3060.128819945575,3218.5118467210923,-52.31033333333335,0.0,-0.0,0.0
3093.08,1.0019663039640299,0.001964373318799695,3134.9559999999997,3060.8067552343905,3209.105244765609,-41.87599999999975,0.0,0.0,0.0
3085.18,0.9974459115186157,-0.00255735572978301,3130.421333333333,3061.6582943975936,3199.184372269073,-45.24133333333339,0.0,-0.0,0.0
3076.78,0.9972773063484142,-0.0027264069235455124,3126.135,3060.756011547789,3191.5139884522114,-49.35500000000002,0.0,-0.0,0.0
3074.62,0.9992979673554819,-0.0007022791848280371,3122.2509999999997,3059.043547940437,3185.4584520595627,-47.63099999999986,0.0,-0.0,0.0
3078.27,1.001187138573222,0.0011864344814073182,3118.442666666667,3059.1054498907474,3177.779883442586,-40.17266666666683,0.0,0.0,0.0
3066.91,0.9963096154658297,-0.003697210802720863,3114.2913333333336,3058.787246690792,3169.795419975875,-47.381333333333714,0.0,-0.0,0.0
3037.56,0.9904301071762784,-0.009615978507102663,3109.9166666666665,3051.5746632650066,3168.2586700683264,-72.35666666666657,1.0,-0.0,1.0
3046.77,1.0030320388733063,0.0030274515138040614,3105.856666666667,3047.452305862706,3164.261027470628,-59.08666666666704,1.0,0.0030274515138040614,0.0
3036.89,0.9967572215822001,-0.0032480476180494974,3102.3653333333336,3040.396219395029,3164.334447271638,-65.47533333333377,1.0,-0.0032480476180494974,0.0
3039.42,1.0008330891141926,0.0008327422880678062,3099.262,3034.289718291994,3164.234281708006,-59.8420000000001,1.0,0.0008327422880678062,0.0
3022.55,0.9944495989366393,-0.005565861774647923,3095.481666666667,3026.2849045173175,3164.6784288160165,-72.93166666666684,1.0,-0.005565861774647923,0.0
3010.29,0.9959438222692759,-0.004064426332367735,3090.9610000000002,3017.7905314233694,3164.131468576631,-80.67100000000028,1.0,-0.004064426332367735,0.0
3004.52,0.9980832411495238,-0.0019185981834692629,3087.197333333333,3008.271454017695,3166.1232126489713,-82.67733333333308,1.0,-0.0019185981834692629,0.0
2995.99,0.9971609441774393,-0.0028430935856432055,3083.305,2998.3115279991566,3168.298472000843,-87.31500000000005,1.0,-0.0028430935856432055,0.0
3006.72,1.0035814538766819,0.0035750557426105405,3080.4223333333334,2991.0634962953486,3169.7811703713182,-73.70233333333363,1.0,0.0035750557426105405,0.0
2986.2,0.9931752873563219,-0.006848107497875052,3076.1666666666665,2981.4023175818406,3170.9310157514924,-89.9666666666667,1.0,-0.006848107497875052,0.0
2997.95,1.0039347665929945,0.003927045645713661,3071.399,2975.739977050131,3167.0580229498687,-73.44900000000007,1.0,0.003927045645713661,0.0
2989.69,0.9972447839356895,-0.00275901865834251,3065.934333333333,2970.985527717805,3160.8831389488614,-76.24433333333309,1.0,-0.00275901865834251,0.0
2995.68,1.002003552207754,0.0020015477739080485,3061.1063333333336,2967.126063286051,3155.0866033806165,-65.42633333333379,1.0,0.0020015477739080485,0.0
2966.15,0.9901424718260964,-0.009906435272235847,3055.523333333333,2959.4956170278324,3151.551049638834,-89.373333333333,1.0,-0.009906435272235847,0.0
2970.27,1.0013890059504744,0.0013880421740667438,3050.8559999999998,2952.2660727534403,3149.445927246559,-80.58599999999979,1.0,0.0013880421740667438,0.0
2938.13,0.9891794348661906,-0.010879533213144625,3045.3423333333335,2940.63298761425,3150.051679052417,-107.21233333333339,1.0,-0.010879533213144625,0.0
2919.4,0.9936251969790308,-0.006395208846051112,3039.040333333333,2927.514541235776,3150.5661254308898,-119.64033333333282,1.0,-0.006395208846051112,0.0
2893.06,0.9909775981366034,-0.009063350218850382,3031.4696666666664,2912.171327749041,3150.7680055842916,-138.40966666666645,1.0,-0.009063350218850382,0.0
2938.79,1.0158067928076155,0.01568316651328419,3025.3616666666667,2906.4865970279575,3144.236736305376,-86.57166666666672,1.0,0.01568316651328419,0.0
2952.01,1.0044984500423644,0.004488362257589308,3019.7466666666664,2903.576326178252,3135.9170071550807,-67.73666666666622,1.0,0.004488362257589308,0.0
2910.63,0.9859824323088336,-0.014116741669228959,3013.5466666666666,2894.53642482015,3132.5569085131833,-102.91666666666652,1.0,-0.014116741669228959,0.0
2887.61,0.9920910593239265,-0.007940382236732688,3006.6656666666668,2883.1285185266306,3130.202814806703,-119.05566666666664,1.0,-0.007940382236732688,0.0
2940.25,1.0182296085690241,0.018065441388606784,3001.612666666667,2880.107318416757,3123.1180149165766,-61.36266666666688,1.0,0.018065441388606784,0.0
2976.74,1.0124105093104327,0.012334130226057043,2997.9369999999994,2880.5185826993998,3115.355417300599,-21.19699999999966,1.0,0.012334130226057043,0.0
2961.79,0.9949777273124291,-0.005034926684707477,2993.5606666666667,2881.135236615022,3105.9860967183113,-31.770666666666784,1.0,-0.005034926684707477,0.0
2977.62,1.0053447408492837,0.005330508411847629,2989.9753333333333,2882.9074691010496,3097.043197565617,-12.35533333333342,1.0,0.005330508411847629,0.0
2984.87,1.0024348305022133,0.0024318711052059867,2986.911666666667,2884.9853867373563,3088.8379465959774,-2.04166666666697,1.0,0.0024318711052059867,0.0
